Segment,Country,Product,Discount Band, Units Sold , Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales ,COGS,Profit,Date,Month Number,Month Name,Year
Government,CANADA,Carretera,None," $1,618.50 ", $3.00 , $20.00 ," $32,370.00 ", $-   ," $32,370.00 ",16185,16185,1/1/2014,1,January,2014
Government,   germany   ,Carretera,None," $1,321.00 ",3, $20.00 ," $26,420.00 ", $-   ," $26,420.00 ",13210,13210,1/1/2014,1,January,2014
Midmarkets,FRANCE,Carretera,None," $2,178.00 ",3, $15.00 ," $32,670.00 ",," $32,670.00 ",21780,10890,6/1/2014,6,June,2014
Midmarket,Germany,Carretera,None, $888.00 ,3, $15.00 ," $13,320.00 ", $-   ," $13,320.00 ",8880,4440,6/1/2014,6,June,2014
Midmarket,                  Mexico,Carretera,None," $2,470.00 ", $3.00 , $15.00 ," $37,050.00 ", $-   ," $37,050.00 ",24700,12350,6/1/2014,6,June,2014
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Government,Germany,Carretera,None," $1,513.00 ",3, $350.00 ," $529,550.00 ", $-   ," $529,550.00 ",393380,136170,12/1/2014,12,December,2014
Midmarket,GERMANY,Montana,None, $921.00 ,5, $15.00 ," $13,815.00 ", $-   ," $13,815.00 ",9210,4605,3/1/2014,3,March,2014
Channel Partners,  Canada,Montana,None," $2,518.00 ", $5.00 , $12.00 ," $30,216.00 ",," $30,216.00 ",7554,22662,6/1/2014,6,June,2014
Government,    France,Montana,None," $1,899.00 ", $5.00 , $20.00 ," $37,980.00 ", $-   ," $37,980.00 ",18990,18990,6/1/2014,6,June,2014
,,,,,,,,,,,,,,,
Channel Partners,germany,Montana,None," $1,545.00 ", $5.00 , $12.00 ," $18,540.00 ",," $18,540.00 ",4635,13905,6/1/2014,6,June,2014
Midmarket,Mexico,Montana,None," $2,470.00 ", $5.00 , $15.00 ," $37,050.00 ",," $37,050.00 ",24700,12350,6/1/2014,6,June,2014
Enterprise,Canada,Montana,None," $2,665.50 ", $5.00 , $125.00 ," $333,187.50 ", $-   ," $333,187.50 ",319860,13327.5,7/1/2014,7,July,2014
Small Business, mexico,Montana,None, $958.00 , $5.00 , $300.00 ," $287,400.00 ",," $287,400.00 ",239500,47900,8/1/2014,8,August,2014
Government,Germany,Montana,None," $2,146.00 ", $5.00 , $7.00 ," $15,022.00 ", $-   ," $15,022.00 ",10730,4292,9/1/2014,9,September,2014
Enterprise,Canada,Montana,None, $345.00 , $5.00 , $125.00 ," $43,125.00 ",," $43,125.00 ",41400,1725,10/1/2013,10,October,2013
,,,,,,,,,,,,,,,
Midmarket,"United States 
of America",Montana,None, $615.00 , $5.00 , $15.00 ," $9,225.00 ", $-   ," $9,225.00 ",6150,3075,12/1/2014,12,December,2014
Government,Canada,Paseo,None, $292.00 , $10.00 , $20.00 ," $5,840.00 ", $-   ," $5,840.00 ",2920,2920,2/1/2014,2,February,2014
Midmarket,MEXICO,Paseo,None, $974.00 , $10.00 , $15.00 ," $14,610.00 ",," $14,610.00 ",9740,4870,2/1/2014,2,February,2014
,,,,,,,,,,,,,,,
Channel Partners,   Canada,Paseo,None," $2,518.00 ", $10.00 , $12.00 ," $30,216.00 ", $-   ," $30,216.00 ",7554,22662,6/1/2014,6,June,2014
Government,Germany,Paseo,None," $1,006.00 ", $10.00 , $350.00 ," $352,100.00 ", $-   ," $352,100.00 ",261560,90540,6/1/2014,6,June,2014
Channel Partners,Germany,Paseo,None, $367.00 , $10.00 , $12.00 ," $4,404.00 ", $-   ," $4,404.00 ",1101,3303,7/1/2014,7,July,2014
Government,Mexico,Paseo,None, $883.00 , $10.00 , $7.00 ," $6,181.00 ", $-   ," $6,181.00 ",4415,1766,8/1/2014,8,August,2014
,,,,,,,,,,,,,,,
Midmarket,France,Paseo,None, $549.00 , $10.00 , $15.00 ," $8,235.00 ", $-   ," $8,235.00 ",5490,2745,9/1/2013,9,September,2013
Small Business,Mexico,Paseo,None, $788.00 , $10.00 , $300.00 ," $236,400.00 ", $-   ," $236,400.00 ",197000,39400,9/1/2013,9,September,2013
Midmarket,Mexico,Paseo,None," $2,472.00 ", $10.00 , $15.00 ," $37,080.00 ", $-   ," $37,080.00 ",24720,12360,9/1/2014,9,September,2014
Government,"United States 
of America",Paseo,None," $1,143.00 ", $10.00 , $7.00 ," $8,001.00 ", $-   ," $8,001.00 ",5715,2286,10/1/2014,10,October,2014
,,,,,,,,,,,,,,,
Government,Canada,Paseo,None," $1,725.00 ", $10.00 , $350.00 ," $603,750.00 ", $-   ," $603,750.00 ",448500,155250,11/1/2013,11,November,2013
Channel Partners,United States of America,Paseo,None, $912.00 , $10.00 , $12.00 ," $10,944.00 ", $-   ," $10,944.00 ",2736,8208,11/1/2013,11,November,2013
Midmarket,Canada,Paseo,None," $2,152.00 ", $10.00 , $15.00 ," $32,280.00 ", $-   ," $32,280.00 ",21520,10760,12/1/2013,12,December,2013
Government,Canada,Paseo,None," $1,817.00 ", $10.00 , $20.00 ," $36,340.00 ", $-   ," $36,340.00 ",18170,18170,12/1/2014,12,December,2014
Government,Germany,Paseo,None," $1,513.00 ", $10.00 , $350.00 ," $529,550.00 ", $-   ," $529,550.00 ",393380,136170,12/1/2014,12,December,2014
Government,Mexico,Velo,None," $1,493.00 ", $120.00 , $7.00 ," $10,451.00 ", $-   ," $10,451.00 ",7465,2986,1/1/2014,1,January,2014
Enterprise,France,Velo,None," $1,804.00 ", $120.00 , $125.00 ," $225,500.00 ", $-   ," $225,500.00 ",216480,9020,2/1/2014,2,February,2014
Channel Partners,Germany,Velo,None," $2,161.00 ", $120.00 , $12.00 ," $25,932.00 ", $-   ," $25,932.00 ",6483,19449,3/1/2014,3,March,2014
Government,Germany,Velo,None," $1,006.00 ", $120.00 , $350.00 ," $352,100.00 ", $-   ," $352,100.00 ",261560,90540,6/1/2014,6,June,2014
Channel Partners,Germany,Velo,None," $1,545.00 ", $120.00 , $12.00 ," $18,540.00 ", $-   ," $18,540.00 ",4635,13905,6/1/2014,6,June,2014
Enterprise,United States of America,Velo,None," $2,821.00 ", $120.00 , $125.00 ," $352,625.00 ", $-   ," $352,625.00 ",338520,14105,8/1/2014,8,August,2014
Enterprise,Canada,Velo,None, $345.00 , $120.00 , $125.00 ," $43,125.00 ", $-   ," $43,125.00 ",41400,1725,10/1/2013,10,October,2013
Small Business,Canada,VTT,None," $2,001.00 ", $250.00 , $300.00 ," $600,300.00 ", $-   ," $600,300.00 ",500250,100050,2/1/2014,2,February,2014
Channel Partners,Germany,VTT,None," $2,838.00 ", $250.00 , $12.00 ," $34,056.00 ", $-   ," $34,056.00 ",8514,25542,4/1/2014,4,April,2014
Midmarket,France,VTT,None," $2,178.00 ", $250.00 , $15.00 ," $32,670.00 ", $-   ," $32,670.00 ",21780,10890,6/1/2014,6,June,2014
Midmarket,Germany,VTT,None, $888.00 , $250.00 , $15.00 ," $13,320.00 ", $-   ," $13,320.00 ",8880,4440,6/1/2014,6,June,2014
Government,France,VTT,None," $1,527.00 ", $250.00 , $350.00 ," $534,450.00 ", $-   ," $534,450.00 ",397020,137430,9/1/2013,9,September,2013
Small Business,France,VTT,None," $2,151.00 ", $250.00 , $300.00 ," $645,300.00 ", $-   ," $645,300.00 ",537750,107550,9/1/2014,9,September,2014
Government,Canada,VTT,None," $1,817.00 ", $250.00 , $20.00 ," $36,340.00 ", $-   ," $36,340.00 ",18170,18170,12/1/2014,12,December,2014
Government,France,Amarilla,None," $2,750.00 ", $260.00 , $350.00 ," $962,500.00 ", $-   ," $962,500.00 ",715000,247500,2/1/2014,2,February,2014
Channel Partners,United States of America,Amarilla,None," $1,953.00 ", $260.00 , $12.00 ," $23,436.00 ", $-   ," $23,436.00 ",5859,17577,4/1/2014,4,April,2014
Channel Partners,United States of America,Amarilla,None," $1,953.00 ", $260.00 , $12.00 ," $23,436.00 ", $-   ," $23,436.00 ",5859,17577,4/1/2014,4,April,2014
Enterprise,Germany,Amarilla,None," $4,219.50 ", $260.00 , $125.00 ," $527,437.50 ", $-   ," $527,437.50 ",506340,21097.5,4/1/2014,4,April,2014
Government,France,Amarilla,None," $1,899.00 ", $260.00 , $20.00 ," $37,980.00 ", $-   ," $37,980.00 ",18990,18990,6/1/2014,6,June,2014
Government,Germany,Amarilla,None," $1,686.00 ", $260.00 , $7.00 ," $11,802.00 ", $-   ," $11,802.00 ",8430,3372,7/1/2014,7,July,2014
Channel Partners,United States of America,Amarilla,None," $2,141.00 ", $260.00 , $12.00 ," $25,692.00 ", $-   ," $25,692.00 ",6423,19269,8/1/2014,8,August,2014
Government,United States of America,Amarilla,None," $1,143.00 ", $260.00 , $7.00 ," $8,001.00 ", $-   ," $8,001.00 ",5715,2286,10/1/2014,10,October,2014
Midmarket,United States of America,Amarilla,None, $615.00 , $260.00 , $15.00 ," $9,225.00 ", $-   ," $9,225.00 ",6150,3075,12/1/2014,12,December,2014
Midmarket,United States of America,Amarilla,None, $615.00 , $260.00 , $15.00 ," $9,225.00 ", $-   ," $9,225.00 ",6150,3075,12/1/2014,12,December,2014
Government,France,Paseo,Low," $3,945.00 ", $10.00 , $7.00 ," $27,615.00 ", $276.15 ," $27,338.85 ",19725,7613.85,1/1/2014,1,January,2014
Midmarket,France,Paseo,Low," $2,296.00 ", $10.00 , $15.00 ," $34,440.00 ", $344.40 ," $34,095.60 ",22960,11135.6,2/1/2014,2,February,2014
Government,France,Paseo,Low," $1,030.00 ", $10.00 , $7.00 ," $7,210.00 ", $72.10 ," $7,137.90 ",5150,1987.9,5/1/2014,5,May,2014
Government,France,Velo,Low, $639.00 , $120.00 , $7.00 ," $4,473.00 ", $44.73 ," $4,428.27 ",3195,1233.27,11/1/2014,11,November,2014
Government,Canada,VTT,Low," $1,326.00 ", $250.00 , $7.00 ," $9,282.00 ", $92.82 ," $9,189.18 ",6630,2559.18,3/1/2014,3,March,2014
Channel Partners,United States of America,Carretera,Low," $1,858.00 ", $3.00 , $12.00 ," $22,296.00 ", $222.96 ," $22,073.04 ",5574,16499.04,2/1/2014,2,February,2014
Government,Mexico,Carretera,Low," $1,210.00 ", $3.00 , $350.00 ," $423,500.00 "," $4,235.00 "," $419,265.00 ",314600,104665,3/1/2014,3,March,2014
Government,Mexico,Carretera,Low," $1,210.00 ", $3.00 , $350.00 ," $423,500.00 "," $4,235.00 "," $419,265.00 ",314600,104665,3/1/2014,3,March,2014
Government,United States of America,Carretera,Low," $2,529.00 ", $3.00 , $7.00 ," $17,703.00 ", $177.03 ," $17,525.97 ",12645,4880.97,7/1/2014,7,July,2014
Channel Partners,Canada,Carretera,Low," $1,445.00 ", $3.00 , $12.00 ," $17,340.00 ", $173.40 ," $17,166.60 ",4335,12831.6,9/1/2014,9,September,2014
Enterprise,United States of America,Carretera,Low, $330.00 , $3.00 , $125.00 ," $41,250.00 ", $412.50 ," $40,837.50 ",39600,1237.5,9/1/2013,9,September,2013
Channel Partners,France,Carretera,Low," $2,671.00 ", $3.00 , $12.00 ," $32,052.00 ", $320.52 ," $31,731.48 ",8013,23718.48,9/1/2014,9,September,2014
Channel Partners,Germany,Carretera,Low, $766.00 , $3.00 , $12.00 ," $9,192.00 ", $91.92 ," $9,100.08 ",2298,6802.08,10/1/2013,10,October,2013
Small Business,Mexico,Carretera,Low, $494.00 , $3.00 , $300.00 ," $148,200.00 "," $1,482.00 "," $146,718.00 ",123500,23218,10/1/2013,10,October,2013
Government,Mexico,Carretera,Low," $1,397.00 ", $3.00 , $350.00 ," $488,950.00 "," $4,889.50 "," $484,060.50 ",363220,120840.5,10/1/2014,10,October,2014
Government,France,Carretera,Low," $2,155.00 ", $3.00 , $350.00 ," $754,250.00 "," $7,542.50 "," $746,707.50 ",560300,186407.5,12/1/2014,12,December,2014
Midmarket,Mexico,Montana,Low," $2,214.00 ", $5.00 , $15.00 ," $33,210.00 ", $332.10 ," $32,877.90 ",22140,10737.9,3/1/2014,3,March,2014
Small Business,United States of America,Montana,Low," $2,301.00 ", $5.00 , $300.00 ," $690,300.00 "," $6,903.00 "," $683,397.00 ",575250,108147,4/1/2014,4,April,2014
